,ID,Params,Observations
0,0,"[0.07933753958678094, 0.5049018457548002]","[ 15.58415574  21.47048806  33.1016482   37.52237536  41.05327985
  41.44084873  60.37820541  62.86222008  66.56151439  67.90096787
  73.75613848  77.93551064  81.60737885  83.69870713  93.71783837
  96.16925362  96.21100697 100.19436792 102.81054228 103.49606879
 109.04477384 110.51110086 113.56723234 124.80945732 132.25928298
 132.49244195 134.15081767 134.71102162 135.61910726 136.84928907
 141.96042558 164.20696287 180.84640795 205.43179025 212.65715965
 220.36063428 249.06026986 252.95429808 254.6618004  255.67488241
 269.27186399 269.9937011  275.14476423 276.90963424 292.05416665
 307.26424675 320.08600998 339.67708439 340.73860106 343.48565926
 353.83525305 355.38707458]"
0,1,"[0.021891980533560524, 0.4929157707784037]","[  2.88119374  16.18054743  21.13433289  22.15571166  24.77225118
  33.47769668  34.78260055  73.45955488  73.84705614  74.88985819
  81.10847985 100.05212672 100.16817719 104.95052128 105.55348167
 109.12024483 112.96434205 113.87993154 122.22652347 123.09711074
 135.03658963 144.36630952 146.12692981 148.38422458 149.72184068
 164.28717654 184.78714227 215.23555016 240.22194387 255.40837231
 267.9684639  274.69008418 296.96457993 301.13433466 305.89413922
 331.43345689 335.22278974 353.85713131 356.12912057 357.17021534
 359.2532719  360.        ]"
0,2,"[0.030918876296913672, 0.6004155348768234]","[ 34.71952465  42.48217923  48.75632942  53.1806986   55.6708263
  55.80840438  59.85403328  63.386022    66.27154074  72.98514572
  76.86052643  81.59083556  84.16047737  84.32200855  88.28581327
  98.58239922 102.27544607 106.65405239 114.65661128 122.32341545
 126.85835799 146.391044   165.60528747 166.77702893 181.75610023
 193.34231226 197.36316457 201.20334497 260.76673404 262.0156444
 282.02635618 284.16563243 313.11979771 315.50147925 320.05689473
 327.22005928 330.61303618 334.19705353]"
0,3,"[0.05629211928806649, 0.46721804830862856]","[  6.51192296   6.56220576   7.32625966  11.6976671   16.89301367
  17.37072559  18.32813284  21.70874507  33.64867532  34.35604119
  50.59802644  63.33794973  64.85812827  79.78186063  87.60597536
  88.13375365  90.70755272  90.97079133  95.63609991 102.82707986
 106.42559216 110.29985396 113.32656494 116.23069862 118.81274638
 121.95789444 122.7359211  127.10501452 141.58089875 149.01918514
 150.53589659 181.6284237  190.46973314 217.1653491  229.15127229
 242.03193277 251.62662745 273.21937529 286.29839504 289.48980547
 291.55010316 295.86848535 298.50677214 314.9800551  317.08894571
 319.50475808 346.54822549 351.09777569 359.52517151]"
0,4,"[0.10620280840189672, 0.5318141175455788]","[  4.7911159    5.80344574  18.1047366   18.91334561  23.42095359
  31.22437706  32.64399243  34.75096436  55.51734243  57.02775885
  59.0778464   60.67607337  73.60349633  75.40856516  76.35655489
  85.29718726  91.10274384  95.47558958  99.38668743  99.70592505
  99.87437047 101.43446984 106.93909848 107.69494477 110.21026311
 114.46955063 116.38954347 118.11679302 120.40342897 121.51344659
 123.73601562 131.22716567 132.30605704 142.00409615 144.44969369
 150.50634013 150.55968612 164.1328058  171.63584206 188.3852899
 200.42794325 203.51841168 203.58491007 207.44360226 213.34531614
 227.01321405 236.17032709 236.77012914 255.34726385 269.07612243
 311.020862   319.82024858 352.24543596 352.42935645 352.52400577
 353.70469345 355.77074766 357.78712768]"
0,5,"[0.09936483324700388, 0.5432023383048781]","[  9.11747135  11.4962078   22.51899809  23.7346701   24.8882375
  30.60973172  40.94864861  48.06966541  52.22618196  59.23149678
  70.44522988  72.07059508  72.55543454  73.46444745  74.96286675
  76.66262029  79.01479459  86.046928    93.89253374  95.7027153
  95.98299638  98.87968732  99.56438115 104.69734235 113.78073572
 113.80872074 114.46810793 115.4660556  121.15877679 132.34597806
 163.45069191 163.78448411 164.65801537 186.48069612 196.18595867
 207.4226845  223.02127588 243.86213385 247.50081811 252.66161816
 253.03930865 255.09260543 273.49494909 335.61979051 350.4120889
 352.30278321]"
0,6,"[0.03739259791624863, 0.4431015483556184]","[ 29.60956644  38.38837966  41.54445488  47.88614894  48.70972849
  50.02992197  53.26876603  54.82600167  59.1940279   64.24426392
  66.35562561  77.86298144  81.85786616  83.07269104  85.52064455
  87.77887361  91.79728907 124.12786558 133.8810092  135.84111527
 196.53542553 201.72622739 210.55867974 236.8390787  252.39104017
 253.32512397 254.42215735 274.54336461 278.55504643 296.18030045
 296.36848706 296.99006701 298.1707829  321.10439725 347.21101354
 348.06010277 357.98913547 359.24844629 360.        ]"
0,7,"[0.07243916570819375, 0.46980815956761257]","[  7.36460493  23.79803298  45.85594192  48.0041924   48.43674366
  69.50818067  69.66878869  76.65327825  83.5152966   84.02544554
  92.81973585 111.32322371 111.82341909 115.15623316 122.83117992
 123.16544201 123.84151228 124.83248966 128.77310951 131.70626805
 132.3708497  143.78319735 146.27964352 147.53120434 148.66339279
 148.74873134 149.60930396 162.97310198 174.73508597 178.14335963
 180.2120417  181.26731847 182.96925952 183.89058736 186.01205735
 209.45256096 211.19866115 258.88069149 300.29055403 301.06748559
 301.71608508 304.28322441 306.0516495  348.56064668]"
0,8,"[0.09542816237174097, 0.4620703183931036]","[  3.03440752  11.14648695  12.00466751  19.35623679  20.44748258
  25.54694513  31.90382311  33.47940775  35.57116081  39.99011004
  41.33467237  51.25895882  53.83995843  59.78336514  61.16566094
  62.35581312  70.59356811  72.15419423  77.18006099  77.26619965
  79.35236357  80.54455617  84.01665745  84.40941162  92.72122586
  93.48550736  93.65405838  94.72587101  97.23021343 110.96212869
 112.76947063 114.11362118 127.77260378 128.38033549 139.36834132
 140.02044802 144.89680409 152.59840329 176.98378002 182.19761818
 209.00422938 246.00165745 256.49939598 278.71004999 290.5651444
 313.28650909 313.40152034 315.78245174 316.99263578 323.57924668
 324.76552897 326.88924792 327.65662483 328.14639843 329.0938228
 329.49990057 330.61478078 331.55793287 337.63235904 341.05130797
 354.363238   359.63772686 360.        ]"
0,9,"[0.03399115138228495, 0.38380643719334206]","[ 22.69918281  38.01939754  47.23600005  50.89847565  51.21360104
  55.98861521  56.5876691   60.0755202   61.6199277   62.48772966
  66.75763339  72.06245697  72.43826673  78.59967146 110.50464456
 110.75171802 116.35844046 117.849239   117.93937001 120.69975545
 129.92834008 133.89081866 135.14844442 144.98487447 145.39244083
 168.08364166 178.21792936 181.4994284  184.33110692 185.87823928
 187.18423216 189.95356219 215.99662775 255.24141455 255.80589211
 287.5836175  293.15285018 308.97858377 322.49210269 330.57698983
 352.23554185]"
0,10,"[0.020041708829584923, 0.4687461943130318]","[  4.2667657    7.71812067   7.80206127  11.62404831  18.98154312
  44.97571819  49.33387641  53.77927271  54.87700639  61.68592203
  64.10119979  69.75208939  86.47150335  91.81132929  98.15909269
 102.29423195 103.25399573 105.2728449  107.54893498 107.85137163
 124.80198217 127.6086626  132.23889284 152.3413093  157.16956542
 158.100833   159.88910754 161.34141429 168.61319752 184.16242814
 184.28716231 185.43897113 188.07671404 200.83590819 209.49634122
 210.26161154 214.07885289 243.13041535 254.74066102 271.2128212
 289.73202582 324.30814743 353.21031188 353.57381351]"
0,11,"[0.06078166272697601, 0.5164506709029081]","[ 14.78258923  17.36778411  20.3828743   23.36967245  24.00258825
  34.40279001  38.01796144  41.49731194  58.38134326  61.18902932
  66.48860126  68.07668891  70.37444208  71.00729318  74.02157937
  81.43059708  86.45821109  93.13285731  94.69166822 107.62677497
 113.08575597 127.83567496 143.94532641 149.8168749  163.94190969
 164.67086337 166.43203313 166.89042857 172.01953542 172.48999735
 172.55968152 183.52994883 184.1018155  192.77132635 207.32726848
 207.52832812 207.93235003 208.04291284 208.14793788 227.29693539
 252.32832751 262.16981092 267.94410561 298.0771344  310.84662127
 333.14139856 335.90815597 360.        ]"
0,12,"[0.09108259775555776, 0.5158775292397965]","[  6.70486625   9.11666428   9.20905674  10.79148131  10.97312087
  10.9871422   37.34937055  43.37173844  44.18399245  55.34129258
  59.33322882  61.38358027  66.24016971  98.34042976 101.83528233
 109.33568345 118.94864975 119.42976003 119.55177313 132.63697725
 134.2901989  137.39904804 144.61153335 152.39621377 153.30281351
 155.01330432 155.85200988 158.36110093 159.54076354 159.64632605
 161.18012251 165.0988581  170.20793995 172.78813878 187.03481345
 188.45458861 188.60926188 200.46939565 200.56566833 211.17161157
 220.59286219 250.76891971 265.81491975 269.48289487 272.97263484
 274.54710381 276.15507729 279.21668256 279.28933876 289.49471081
 292.89526988 298.05372074 304.66390372 306.62828258 306.67725675
 315.26132512 318.7975395  327.21504789 333.59441485 340.00796849
 344.20481831 346.36127443 352.59491003]"
0,13,"[0.05372447701609012, 0.48286103454175644]","[  7.22611379  22.67127268  27.61439919  30.343983    42.67693757
  43.47966827  45.63284451  47.09311971  57.22011553  62.55370705
  63.63480172  74.00815328  74.13277873  75.25419966  75.67544151
  76.6096364   79.87091603  80.14700416  82.88217721  90.74492271
  91.33263689 100.76271673 113.72984917 116.39108175 126.36983482
 140.36455556 142.63415252 148.71581774 229.17726194 243.32024043
 255.28825411 291.2570452  338.46139049 351.98267584 352.21516472
 354.2518337  356.3902828  360.        ]"
0,14,"[0.03650720847910356, 0.44581540081475207]","[ 17.27299778  21.09107552  26.02264267  27.38553059  33.66794318
  42.8971357   43.75667541  43.77286808  44.90712677  48.1570996
  63.82968881  65.2481186   69.52672285  97.9043239  108.47407165
 121.25729365 122.03141123 122.11286886 123.79415648 125.53712709
 128.14682999 134.13481227 139.38892524 139.72075088 155.96440682
 182.13773483 182.83618743 184.40768945 185.61449847 185.7614031
 185.8109792  187.2607895  194.12172124 223.81010714 233.19282903
 252.63035975 277.2113894  284.59139753 291.39295851 297.53001801
 298.16249548 315.87308385 321.73232567 331.91675939 340.3004799
 347.33225098 354.6330848  355.58476357 356.14234549 358.6438383
 360.        ]"
0,15,"[0.04852005026870889, 0.4941175975404067]","[ 11.48219869  17.39506601  19.52233825  20.55572644  25.04019782
  25.22283266  31.44161913  31.60161832  33.79519533  36.88753422
  46.64084868  57.76084739  60.23592508  62.2595081   72.11639844
  76.08241404  78.24017384  84.17299313  86.62422973  87.0740149
  87.47201432  89.14231728  92.28311572  94.40943896 110.60179494
 111.29922225 115.15249088 127.42520374 128.78027531 141.61065627
 143.91116158 146.49615084 152.18226301 153.07815955 157.58583038
 164.51752059 166.624449   167.81137538 176.53469986 182.258066
 212.08791996 218.54476034 227.73142745 251.09842873 275.800929
 295.06052508 295.35346961 305.43492908 312.05854325 322.58401976
 334.41656087 342.72972231 359.08414023 360.        ]"
0,16,"[0.03327730706337046, 0.5528799572125587]","[  5.8187616   14.19392492  24.71412801  34.65227803  47.23016647
  50.61742955  64.11047293  67.14591042  70.55214668  73.34804493
  74.42086345  81.59703317  81.80335125  83.86582121  84.08765064
  85.94913574  89.24445205  91.71234362  93.19377896 103.40212517
 104.81934487 107.99349766 112.48824754 114.71221727 119.93839185
 120.47919739 127.94662247 136.68576051 138.12417534 139.40237207
 143.37255749 148.82095223 151.53664488 154.24881905 161.62512532
 165.3180766  168.46117672 190.35628499 192.96908947 198.65818375
 198.83646851 219.77784319 226.56730887 233.42239056 244.74442901
 251.52376118 251.91565211 252.14272774 303.08508941]"
0,17,"[0.015309490122719883, 0.4618841870475785]","[  7.26886891  17.7672412   30.75834571  37.81471569  44.98436941
  51.87740309  60.58623591  69.59736251  78.00790373  94.41742638
  98.08564434 102.90615533 107.23179847 108.61079277 113.43886793
 116.13073477 131.33533603 136.34394973 137.81280709 142.20432891
 151.83160843 160.44990991 166.96254122 174.05007579 178.7790496
 180.17864161 181.32380791 181.34906853 199.10414199 199.83201623
 201.02345633 205.27487843 205.5706453  231.46720195 231.75501106
 252.28130996 253.15034138 284.16325621 285.60305432 301.28991969
 305.03858149 307.50917289 334.97624508 346.79869148]"
0,18,"[0.12448918864724293, 0.5452211746846047]","[  9.9181002   11.40303541  12.97921263  17.80271457  19.09909967
  32.31293063  39.33214396  44.43312968  51.64886061  54.27691244
  55.67207256  57.86816624  58.84044708  61.68538747  68.3849331
  72.13147095  80.27923738  88.92523579  89.56144889  94.01676728
  94.47402887  95.13265872  95.51416491  99.35252662 101.28386165
 110.39898314 113.161951   113.83023583 115.64690546 117.14750092
 119.21934643 119.23989016 121.18539706 121.53987977 122.90331108
 123.33856624 128.93025121 129.86458536 132.60866427 143.46165672
 151.0079634  152.27797987 152.6205328  153.98010086 154.77811562
 156.21945778 165.25522007 176.18555707 183.92586235 200.82364003
 209.55652867 237.65178328 250.0465006  250.39134004 291.25463752
 302.46972036 312.62393626 315.00740994 325.55092617 325.5732211
 329.54489654 330.54359321 331.71243699 332.2180308  339.65658421
 347.81376233 352.86028922 360.        ]"
